Temperature - (Celsius), Year, Month, Country, ISO3
1.94475, 1901, Jan, Greece, GRC
5.23412, 1901, Feb, Greece, GRC
10.096, 1901, Mar, Greece, GRC
12.235, 1901, Apr, Greece, GRC
15.62, 1901, May, Greece, GRC
20.0124, 1901, Jun, Greece, GRC
23.5254, 1901, Jul, Greece, GRC
22.6942, 1901, Aug, Greece, GRC
19.7661, 1901, Sep, Greece, GRC
15.4757, 1901, Oct, Greece, GRC
9.07695, 1901, Nov, Greece, GRC
8.44865, 1901, Dec, Greece, GRC
5.98864, 1902, Jan, Greece, GRC
8.27796, 1902, Feb, Greece, GRC
7.85769, 1902, Mar, Greece, GRC
11.9409, 1902, Apr, Greece, GRC
14.4276, 1902, May, Greece, GRC
19.5578, 1902, Jun, Greece, GRC
22.8307, 1902, Jul, Greece, GRC
23.5386, 1902, Aug, Greece, GRC
20.3543, 1902, Sep, Greece, GRC
15.9023, 1902, Oct, Greece, GRC
7.62781, 1902, Nov, Greece, GRC
3.54414, 1902, Dec, Greece, GRC
4.4908, 1903, Jan, Greece, GRC
6.36022, 1903, Feb, Greece, GRC
8.95589, 1903, Mar, Greece, GRC
10.7066, 1903, Apr, Greece, GRC
16.2079, 1903, May, Greece, GRC
18.8591, 1903, Jun, Greece, GRC
22.2223, 1903, Jul, Greece, GRC
22.8802, 1903, Aug, Greece, GRC
19.5888, 1903, Sep, Greece, GRC
15.316, 1903, Oct, Greece, GRC
10.2143, 1903, Nov, Greece, GRC
7.819, 1903, Dec, Greece, GRC
4.07315, 1904, Jan, Greece, GRC
8.35504, 1904, Feb, Greece, GRC
7.72757, 1904, Mar, Greece, GRC
11.9228, 1904, Apr, Greece, GRC
16.3646, 1904, May, Greece, GRC
20.5801, 1904, Jun, Greece, GRC
23.7527, 1904, Jul, Greece, GRC
23.0299, 1904, Aug, Greece, GRC
18.5239, 1904, Sep, Greece, GRC
15.1945, 1904, Oct, Greece, GRC
7.63543, 1904, Nov, Greece, GRC
5.3971, 1904, Dec, Greece, GRC
1.46743, 1905, Jan, Greece, GRC
3.37115, 1905, Feb, Greece, GRC
7.80922, 1905, Mar, Greece, GRC
11.4451, 1905, Apr, Greece, GRC
16.5295, 1905, May, Greece, GRC
19.8395, 1905, Jun, Greece, GRC
24.003, 1905, Jul, Greece, GRC
24.4416, 1905, Aug, Greece, GRC
21.3478, 1905, Sep, Greece, GRC
13.6006, 1905, Oct, Greece, GRC
12.5916, 1905, Nov, Greece, GRC
6.24366, 1905, Dec, Greece, GRC
4.44354, 1906, Jan, Greece, GRC
5.62363, 1906, Feb, Greece, GRC
9.33304, 1906, Mar, Greece, GRC
11.8243, 1906, Apr, Greece, GRC
15.4508, 1906, May, Greece, GRC
19.5963, 1906, Jun, Greece, GRC
23.2929, 1906, Jul, Greece, GRC
22.2127, 1906, Aug, Greece, GRC
18.8371, 1906, Sep, Greece, GRC
14.1944, 1906, Oct, Greece, GRC
11.2604, 1906, Nov, Greece, GRC
5.50645, 1906, Dec, Greece, GRC
2.29435, 1907, Jan, Greece, GRC
3.38811, 1907, Feb, Greece, GRC
4.3902, 1907, Mar, Greece, GRC
10.0497, 1907, Apr, Greece, GRC
18.2377, 1907, May, Greece, GRC
